hand_1;hand_2;flop;turn;p1_win;p2_win;draw
[('D', 6), ('S', 13)];[('D', 9), ('S', 7)];[('C', 6), ('D', 3), ('H', 8)];[('S', 9)];0.11363636363636363;0.8863636363636364;0.0
[('D', 2), ('D', 13)];[('C', 3), ('S', 7)];[('C', 2), ('H', 11), ('C', 11)];[('H', 2)];0.9545454545454546;0.0;0.045454545454545456
[('S', 4), ('H', 13)];[('S', 11), ('H', 6)];[('S', 13), ('C', 5), ('S', 14)];[('H', 7)];1.0;0.0;0.0
[('S', 3), ('H', 11)];[('H', 4), ('S', 2)];[('H', 9), ('C', 9), ('D', 8)];[('S', 6)];0.8636363636363636;0.13636363636363635;0.0
[('H', 6), ('H', 8)];[('S', 8), ('H', 5)];[('H', 12), ('D', 4), ('S', 11)];[('C', 6)];0.9090909090909091;0.09090909090909091;0.0
[('D', 10), ('H', 5)];[('D', 11), ('S', 12)];[('C', 4), ('D', 5), ('D', 8)];[('H', 3)];0.8636363636363636;0.13636363636363635;0.0
[('H', 5), ('S', 2)];[('H', 13), ('D', 8)];[('C', 4), ('H', 3), ('C', 12)];[('S', 12)];0.22727272727272727;0.7727272727272727;0.0
[('D', 8), ('C', 12)];[('C', 9), ('S', 3)];[('H', 2), ('H', 5), ('H', 11)];[('S', 4)];0.7727272727272727;0.22727272727272727;0.0
[('D', 5), ('H', 2)];[('H', 14), ('D', 6)];[('D', 11), ('H', 9), ('S', 12)];[('S', 2)];0.8636363636363636;0.13636363636363635;0.0
[('C', 13), ('D', 5)];[('D', 2), ('C', 11)];[('S', 2), ('C', 6), ('C', 12)];[('S', 4)];0.22727272727272727;0.7727272727272727;0.0
[('D', 9), ('C', 3)];[('S', 9), ('D', 11)];[('S', 7), ('S', 8), ('S', 13)];[('H', 14)];0.045454545454545456;0.9545454545454546;0.0
[('S', 11), ('D', 2)];[('D', 3), ('S', 2)];[('D', 12), ('H', 13), ('H', 3)];[('D', 5)];0.06818181818181818;0.9318181818181818;0.0
[('S', 13), ('H', 14)];[('C', 14), ('C', 8)];[('S', 7), ('H', 5), ('C', 3)];[('H', 10)];0.9318181818181818;0.06818181818181818;0.0
[('S', 13), ('H', 8)];[('S', 4), ('S', 8)];[('C', 13), ('D', 13), ('H', 4)];[('S', 10)];1.0;0.0;0.0
[('D', 12), ('S', 5)];[('C', 10), ('D', 6)];[('H', 3), ('C', 11), ('S', 2)];[('H', 9)];0.8636363636363636;0.13636363636363635;0.0
[('D', 4), ('C', 13)];[('H', 4), ('D', 10)];[('H', 12), ('C', 5), ('D', 2)];[('D', 8)];0.9318181818181818;0.06818181818181818;0.0
[('H', 6), ('D', 2)];[('D', 6), ('C', 6)];[('H', 9), ('H', 13), ('C', 11)];[('H', 8)];0.20454545454545456;0.7954545454545454;0.0
[('D', 6), ('C', 13)];[('S', 4), ('D', 13)];[('C', 9), ('C', 11), ('D', 9)];[('H', 7)];0.06818181818181818;0.06818181818181818;0.8636363636363636
